etapa,respondent_id,collector_id,date_created,date_modified,ip_address,consentimiento,genero,edad,instruccion,pais,ciudad,trabajo,t_cria,afiliacion,t_afiliacion,experiencia,cria_cardenal,cosecha,conocimiento_1,conocimiento_2,conocimiento_3,conocimiento_4,conocimiento_5,conocimiento_6,conocimiento_7,conocimiento_8,conocimiento_9,conocimiento_10,intencion_tenencia1,intencion_tenencia2,intencion_participacion1,intencion_participacion2,act_reconocimiento,act_colaboracion1,act_colaboracion2,act_impostor1,act_impostor2,norm_reconocimiento1,norm_reconocimiento2,norm_colaboracion1,norm_colaboracion2,norm_impostor1,norm_impostor2,moral1,moral2,control_reconocimiento,control_colaboracion,control_impostor,red_comunicacion1,red_comunicacion2,Persona 4_relacion,Persona 4_tiempo,Persona 4_frecuencia,Persona 4_edad,Persona 4_pais,Persona 4_experiencia,Persona 3_relacion,Persona 3_tiempo,Persona 3_frecuencia,Persona 3_edad,Persona 3_pais,Persona 3_experiencia,Persona 2_relacion,Persona 2_tiempo,Persona 2_frecuencia,Persona 2_edad,Persona 2_pais,Persona 2_experiencia,Persona 1_relacion,Persona 1_tiempo,Persona 1_frecuencia,Persona 1_edad,Persona 1_pais,Persona 1_experiencia
pre-piloto,13392225490,414689816,11/3/2022 21:37,11/3/2022 21:52,190.120.248.12,Acepto,Masculino,51 – 60,Secundaria completa,Venezuela,Valencia,Comerciante,Más de 10 años,Miembro activo,Hace mucho (más de 10 años),Aficionado,No,Más de 5 pichones,1,0,0,0,1,1,0,0,1,0,1. Nada probable,1. Nada probable,4.Probable,1. Nada probable,1. Totalmente en desacuerdo,4. Probable,1. Totalmente en desacuerdo,2. En desacuerdo,2. En desacuerdo,4. Probable,4. De acuerdo,4. De acuerdo,2. Falso,2. En desacuerdo,2. Falso,5.Totalmente cierto,4. Cierto,4. De acuerdo,3. No estoy seguro (a),2. En desacuerdo,"Si, tengo mis consultores",2 personas,,,,,,,,,,,,,Colega avicultor,Desde siempre (más de 10 años),Ocasionalmente (varias veces al año),51-60 años,Venezuela,Expermentado,Colega avicultor,Desde siempre (más de 10 años),Ocasionalmente (varias veces al año),51 – 60,Venezuela,Experimentado
pre-piloto,13377556035,414689816,6/3/2022 17:00,6/3/2022 17:30,86.42.167.232,Acepto,Masculino,31 – 40,Universitaria,Venezuela,Dublin ,Empleado (a),Más de 10 años,Miembro inactivo,Hace mucho (más de 10 años),Experimentado,No,Más de 5 pichones,0,0,0,0,1,0,0,0,1,1,1. Nada probable,1. Nada probable,5. Muy probable,5. Muy probable,5. Totalmente de acuerdo,5. Muy probable,5. Totalmente de acuerdo,2. En desacuerdo,5. Totalmente de acuerdo,5. Muy probable,5. Totalmente de acuerdo,5. Totalmente de acuerdo,5. Totalmente cierto,1. Totalmente en desacuerdo,5. Totalmente cierto,5.Totalmente cierto,5. Totalmente cierto,5. Totalmente de acuerdo,3. No estoy seguro (a),2. En desacuerdo,"Si, tengo mis consultores",4 personas,Grupo de expertos,Desde siempre (más de 10 años),Todos los días,31 - 40 años,Venezuela,Expermentado,Grupo de expertos,Desde siempre (más de 10 años),Todos los días,31 - 40 años,Venezuela,Expermentado,Grupo de expertos,Desde siempre (más de 10 años),Todos los días,31 - 40 años,Venezuela,Expermentado,Grupo de expertos,Desde siempre (más de 10 años),Todos los días,31 – 40 años,Venezuela,Experimentado
pre-piloto,13375262956,414689816,4/3/2022 19:41,4/3/2022 20:09,186.185.27.3,Acepto,Masculino,41 - 50,Universitaria,Venezuela,Caracas ,Empleado (a),Más de 10 años,Miembro activo,Hace mucho (más de 10 años),Aficionado,Si,Más de 5 pichones,1,0,0,1,1,1,1,0,1,0,1. Nada probable,1. Nada probable,5. Muy probable,5. Muy probable,4. De acuerdo,3. No estoy seguro (a),4. De acuerdo,3. No estoy seguro (a),2. En desacuerdo,3. No estoy seguro (a),4. De acuerdo,3. No estoy seguro (a),3. No estoy seguro (a),4. De acuerdo,3. No estoy seguro (a),4. Cierto,4. Cierto,4. De acuerdo,4. Cierto,3. No estoy seguro (a),"Si, tengo mis consultores",2 personas,,,,,,,,,,,,,Grupo de expertos,Hace mucho (de 3 a 10 años),Ocasionalmente (varias veces al año),41 - 50 años,España,Expermentado,Grupo de expertos,Hace mucho (3 -10 años),Ocasionalmente (varias veces al año),31 – 40 años,España,Experimentado
pre-piloto,13374536387,414689816,4/3/2022 13:53,4/3/2022 13:59,189.127.166.100,Acepto,Masculino,41 - 50,Universitaria,Venezuela,Valencia,Empleado (a),Más de 10 años,No afiliado,No estoy afiliado,No crío Cardenalitos,No,No crío Cardenalito,1,0,0,0,1,1,0,0,0,1,1. Nada probable,1. Nada probable,1. Nada probable,1. Nada probable,1. Totalmente en desacuerdo,3. No estoy seguro (a),3. No estoy seguro (a),5. Totalmente de acuerdo,3. No estoy seguro (a),5. Muy probable,4. De acuerdo,3. No estoy seguro (a),3. No estoy seguro (a),3. No estoy seguro (a),3. No estoy seguro (a),4. Cierto,4. Cierto,4. De acuerdo,3. No estoy seguro (a),3. No estoy seguro (a),"No consulto a nadie, tomo mis propias decisiones cuando quiero manejar mi aviario",,,,,,,,,,,,,,,,,,,,,,,,,
pre-piloto,13374496183,414689816,4/3/2022 13:36,4/3/2022 13:49,186.14.135.77,Acepto,Masculino,41 - 50,Técnica,Venezuela,Guacara Venezuela ,Empleado (a),5 – 10 anos,Miembro activo,Hace tiempo (más de 5 años),Aficionado,No,2-5 pichones,0,0,0,0,1,0,0,0,1,0,1. Nada probable,1. Nada probable,1. Nada probable,1. Nada probable,3. No estoy seguro (a),3. No estoy seguro (a),3. No estoy seguro (a),1. Totalmente en desacuerdo,5. Totalmente de acuerdo,4. Probable,3. No estoy seguro (a),3. No estoy seguro (a),3. No estoy seguro (a),3. No estoy seguro (a),3. No estoy seguro (a),3. No estoy seguro (a),3. No estoy seguro (a),3. No estoy seguro (a),3. No estoy seguro (a),2. En desacuerdo,"Si, tengo mis consultores",1 persona,,,,,,,,,,,,,,,,,,,Amigo,Hace mucho (3 -10 años),Ocasionalmente (varias veces al año),41 -50,No sé,Experimentado
pre-piloto,13374430632,414689816,4/3/2022 13:08,4/3/2022 13:25,190.202.162.77,Acepto,Masculino,>61,Secundaria completa,Venezuela,Guacara,Otro,Más de 10 años,No afiliado,No estoy afiliado,En formación,No responde,Más de 5 pichones,0,0,0,0,1,0,0,0,1,0,1. Nada probable,1. Nada probable,5. Muy probable,5. Muy probable,5. Totalmente de acuerdo,1. Nada probable,3. No estoy seguro (a),3. No estoy seguro (a),3. No estoy seguro (a),3. No estoy seguro (a),5. Totalmente de acuerdo,3. No estoy seguro (a),4. Cierto,3. No estoy seguro (a),4. Cierto,5.Totalmente cierto,5. Totalmente cierto,5. Totalmente de acuerdo,3. No estoy seguro (a),1. Totalmente en desacuerdo,"Si, tengo mis consultores",3 personas,,,,,,,Colega avicultor,Desde siempre (más de 10 años),Ocasionalmente (varias veces al año),51-60 años,Venezuela,Expermentado,Colega avicultor,Desde siempre (más de 10 años),Frecuentemente (1 o más al mes),Más de 60 años,Portugal,Expermentado,Colega avicultor,Desde siempre (más de 10 años),Frecuentemente (1 o más al mes),51 – 60,Venezuela,Experimentado
pre-piloto,13374195911,414689816,4/3/2022 11:34,4/3/2022 11:40,77.241.53.81,Acepto,Masculino,41 - 50,Universitaria,España,sevilla,Empleado (a),Más de 10 años,Miembro activo,Hace mucho (más de 10 años),Experimentado,No,No crío Cardenalito,1,0,0,0,0,1,0,0,0,0,1. Nada probable,1. Nada probable,1. Nada probable,5. Muy probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-piloto,13374124515,414689816,4/3/2022 11:06,4/3/2022 11:27,77.241.53.81,Acepto,Masculino,41 - 50,Universitaria,España,sevilla,Empleado (a),Más de 10 años,Miembro activo,Hace mucho (más de 10 años),Experimentado,No,No crío Cardenalito,1,0,0,0,0,1,0,0,0,0,1. Nada probable,1. Nada probable,5. Muy probable,5. Muy probable,5. Totalmente de acuerdo,1. Nada probable,5. Totalmente de acuerdo,1. Totalmente en desacuerdo,1. Totalmente en desacuerdo,1. Nada probable,5. Totalmente de acuerdo,5. Totalmente de acuerdo,5. Totalmente cierto,5.  Totalmente de acuerdo,5. Totalmente cierto,5.Totalmente cierto,5. Totalmente cierto,5. Totalmente de acuerdo,5. Totalmente cierto,1. Totalmente en desacuerdo,"Si, tengo mis consultores",4 personas,Colega avicultor,Desde siempre (más de 10 años),Ocasionalmente (varias veces al año),41 - 50 años,España,Expermentado,Colega avicultor,Hace mucho (de 3 a 10 años),Ocasionalmente (varias veces al año),41 - 50 años,España,Expermentado,Colega avicultor,Desde siempre (más de 10 años),Ocasionalmente (varias veces al año),41 - 50 años,España,Expermentado,Colega avicultor,Hace mucho (3 -10 años),Ocasionalmente (varias veces al año),41 -50,España,Experimentado
pre-piloto,13374146881,414689816,4/3/2022 11:13,4/3/2022 11:24,31.4.140.73,Acepto,Masculino,41 - 50,Secundaria completa,España,Malaga,Empleado (a),5 – 10 anos,Miembro activo,Hace tiempo (más de 5 años),Aficionado,Si,2-5 pichones,1,0,1,0,0,1,0,0,1,0,1. Nada probable,1. Nada probable,5. Muy probable,5. Muy probable,5. Totalmente de acuerdo,5. Muy probable,5. Totalmente de acuerdo,1. Totalmente en desacuerdo,1. Totalmente en desacuerdo,5. Muy probable,5. Totalmente de acuerdo,5. Totalmente de acuerdo,5. Totalmente cierto,5.  Totalmente de acuerdo,5. Totalmente cierto,5.Totalmente cierto,5. Totalmente cierto,5. Totalmente de acuerdo,5. Totalmente cierto,5. Totalmente de acuerdo,"Si, tengo mis consultores",3 personas,,,,,,,Amigo,Hace mucho (de 3 a 10 años),Ocasionalmente (varias veces al año),51-60 años,España,Expermentado,Amigo,Hace mucho (de 3 a 10 años),Ocasionalmente (varias veces al año),Más de 60 años,España,Expermentado,Colega avicultor,Hace mucho (3 -10 años),Ocasionalmente (varias veces al año),más de 61 años,España,Experimentado
pre-piloto,13374099143,414689816,4/3/2022 10:55,4/3/2022 11:05,77.241.53.81,Acepto,Masculino,41 - 50,Universitaria,España,sevilla,Empleado (a),5 – 10 anos,Miembro activo,Hace mucho (más de 10 años),Experimentado,No,No crío Cardenalito,1,0,0,0,1,1,0,0,1,0,1. Nada probable,1. Nada probable,5. Muy probable,5. Muy probable,5. Totalmente de acuerdo,1. Nada probable,5. Totalmente de acuerdo,1. Totalmente en desacuerdo,1. Totalmente en desacuerdo,5. Muy probable,5. Totalmente de acuerdo,5. Totalmente de acuerdo,5. Totalmente cierto,5.  Totalmente de acuerdo,5. Totalmente cierto,5.Totalmente cierto,1. Totalmente falso,5. Totalmente de acuerdo,5. Totalmente cierto,1. Totalmente en desacuerdo,"Si, tengo mis consultores",4 personas,Colega avicultor,Desde siempre (más de 10 años),Ocasionalmente (varias veces al año),41 - 50 años,España,Expermentado,Colega avicultor,Desde siempre (más de 10 años),Ocasionalmente (varias veces al año),41 - 50 años,España,Expermentado,,,,,,,,,,,,
