etapa,respondent_id,collector_id,date_created,date_modified,ip_address,consentimiento,genero,edad,instruccion,pais,ciudad,trabajo,t_cria,afiliacion,t_afiliacion,experiencia,cria_cardenal,cosecha,conocimiento_1,conocimiento_2,conocimiento_3,conocimiento_4,conocimiento_5,conocimiento_6,conocimiento_7,conocimiento_8,conocimiento_9,conocimiento_10,intencion_tenencia1,intencion_tenencia2,intencion_participacion1,intencion_participacion2,act_reconocimiento,act_colaboracion1,act_colaboracion2,act_impostor1,act_impostor2,norm_reconocimiento1,norm_reconocimiento2,norm_colaboracion1,norm_colaboracion2,norm_impostor1,norm_impostor2,moral1,moral2,control_reconocimiento,control_colaboracion,control_impostor,red_comunicacion1,red_comunicacion2,Persona 4_relacion,Persona 4_tiempo,Persona 4_frecuencia,Persona 4_edad,Persona 4_pais,Persona 4_experiencia,Persona 3_relacion,Persona 3_tiempo,Persona 3_frecuencia,Persona 3_edad,Persona 3_pais,Persona 3_experiencia,Persona 2_relacion,Persona 2_tiempo,Persona 2_frecuencia,Persona 2_edad,Persona 2_pais,Persona 2_experiencia,Persona 1_relacion,Persona 1_tiempo,Persona 1_frecuencia,Persona 1_edad,Persona 1_pais,Persona 1_experiencia,t_cria2,t_afiliacion2,instruccion2,trabajo2,genero2,cria_cardenal2,afiliacion2,cosecha2,pais2,red_comunicacion1b,respondent_id,age,country,expert,intention,moral,att,norms,conform,intention2,expert2,by
pre-piloto,13392225490,414689816,11/3/2022 21:37,11/3/2022 21:52,190.120.248.12,Acepto,Masculino,Seniors,Secundaria completa,Venezuela,Valencia,Comerciante,Más de 10 años,Miembro activo,Hace mucho (más de 10 años),Amateur,No,Más de 5 pichones,1,0,0,0,1,1,0,0,1,0,1,1,NA,1,1,4,1,NA,NA,4,4,4,NA,NA,NA,NA,NA,4,3,NA,"Si, tengo mis consultores",2 personas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Partner_breeder,4,2,NA,Venezuela,NA,Partner_breeder,4,2,Seniors,Venezuela,Expert,more than 10 years,more than 10 years,NA,Business,Male,No,Active member,Más de 5 pichones,Venezuela,Yes_network,13392225490,Seniors,Venezuela,Amateur,1,0.10514279017686863,-1.2789236699952073,-1.2867852598290563,-0.743787178817907,0,0,respondent_id
pre-piloto,13377556035,414689816,6/3/2022 17:00,6/3/2022 17:30,86.42.167.232,Acepto,Masculino,Adults,Universitaria,Venezuela,Dublin,Empleado (a),Más de 10 años,Miembro inactivo,Hace mucho (más de 10 años),Expert,No,Más de 5 pichones,0,0,0,0,1,0,0,0,1,1,1,1,5,5,5,5,5,NA,5,5,5,5,NA,1,NA,NA,NA,5,3,NA,"Si, tengo mis consultores",4 personas,Experts,4,4,NA,Venezuela,NA,Experts,4,4,NA,Venezuela,NA,Experts,4,4,NA,Venezuela,NA,Experts,4,4,Adults,Venezuela,Expert,more than 10 years,more than 10 years,University,Employed,Male,No,Inactive member,Más de 5 pichones,Venezuela,Yes_network,13377556035,Adults,Venezuela,Expert,5,0.8188236912002285,1.2686611383190822,0.8382779387935201,-0.743787178817907,1,1,respondent_id
pre-piloto,13375262956,414689816,4/3/2022 19:41,4/3/2022 20:09,186.185.27.3,Acepto,Masculino,Adults,Universitaria,Venezuela,Caracas,Empleado (a),Más de 10 años,Miembro activo,Hace mucho (más de 10 años),Amateur,Si,Más de 5 pichones,1,0,0,1,1,1,1,0,1,0,1,1,5,5,4,3,4,3,NA,3,4,3,3,4,3,NA,NA,4,NA,3,"Si, tengo mis consultores",2 personas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Experts,NA,2,NA,España,NA,Experts,3,2,Adults,España,Expert,more than 10 years,more than 10 years,University,Employed,Male,Yes,Active member,Más de 5 pichones,Venezuela,Yes_network,13375262956,Adults,Venezuela,Amateur,5,-0.45676978952745306,-1.1971223091935972,-1.4396135336863225,0.12574762532314096,1,0,respondent_id
pre-piloto,13374536387,414689816,4/3/2022 13:53,4/3/2022 13:59,189.127.166.100,Acepto,Masculino,Adults,Universitaria,Venezuela,Valencia,Empleado (a),Más de 10 años,No afiliado,No estoy afiliado,No_breed,No,No crío Cardenalito,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,3,3,5,3,5,4,3,3,3,3,NA,NA,4,3,3,"No consulto a nadie, tomo mis propias decisiones cuando quiero manejar mi aviario",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,more than 10 years,Not affiliated,University,Employed,Male,No,No afiliated,No crío Cardenalito,Venezuela,No_network,13374536387,Adults,Venezuela,No_breed,1,-0.45676978952745306,-0.8814494303609108,-2.5920700824876883,-0.743787178817907,0,0,respondent_id
pre-piloto,13374496183,414689816,4/3/2022 13:36,4/3/2022 13:49,186.14.135.77,Acepto,Masculino,Adults,Técnica,Venezuela,Guacara Venezuela,Empleado (a),5 – 10 anos,Miembro activo,Hace tiempo (más de 5 años),Amateur,No,2-5 pichones,0,0,0,0,1,0,0,0,1,0,1,1,1,1,3,3,3,1,5,4,3,3,3,3,3,3,3,3,3,NA,"Si, tengo mis consultores",1 persona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Partner_breeder,3,2,Adults,No sé,Expert,NA,more than 5 years,University,Employed,Male,No,Active member,NA,Venezuela,Yes_network,13374496183,Adults,Venezuela,Amateur,1,-1.9996367079893906,-1.2270991675712468,-1.8237657166201109,-0.743787178817907,0,0,respondent_id
pre-piloto,13374430632,414689816,4/3/2022 13:08,4/3/2022 13:25,190.202.162.77,Acepto,Masculino,Seniors,Secundaria completa,Venezuela,Guacara,Otro,Más de 10 años,No afiliado,No estoy afiliado,Formation,No responde,Más de 5 pichones,0,0,0,0,1,0,0,0,1,0,1,1,5,5,5,1,3,3,3,3,5,3,NA,3,NA,NA,NA,5,3,1,"Si, tengo mis consultores",3 personas,NA,NA,NA,NA,NA,NA,Partner_breeder,4,2,NA,Venezuela,NA,Partner_breeder,4,3,NA,Portugal,NA,Partner_breeder,4,3,Seniors,Venezuela,Expert,more than 10 years,Not affiliated,NA,Business,Male,No answer,No afiliated,Más de 5 pichones,Venezuela,Yes_network,13374430632,Seniors,Venezuela,Formation,5,0.5401403507081713,-2.1341028158928075,-0.3386309949813237,-1.9489242824339594,1,0,respondent_id
pre-piloto,13374195911,414689816,4/3/2022 11:34,4/3/2022 11:40,77.241.53.81,Acepto,Masculino,Adults,Universitaria,España,sevilla,Empleado (a),Más de 10 años,Miembro activo,Hace mucho (más de 10 años),Expert,No,No crío Cardenalito,1,0,0,0,0,1,0,0,0,0,1,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,more than 10 years,more than 10 years,University,Employed,Male,No,Active member,No crío Cardenalito,Spain,NA,13374195911,Adults,Spain,Expert,5,0.10514279017686863,0.22358271235673532,0.24982347190609822,0.12574762532314096,1,1,respondent_id
pre-piloto,13374124515,414689816,4/3/2022 11:06,4/3/2022 11:27,77.241.53.81,Acepto,Masculino,Adults,Universitaria,España,sevilla,Empleado (a),Más de 10 años,Miembro activo,Hace mucho (más de 10 años),Expert,No,No crío Cardenalito,1,0,0,0,0,1,0,0,0,0,1,1,5,5,5,1,5,1,1,1,5,5,NA,NA,NA,NA,NA,5,NA,1,"Si, tengo mis consultores",4 personas,Partner_breeder,4,2,NA,España,NA,Partner_breeder,NA,2,NA,España,NA,Partner_breeder,4,2,NA,España,NA,Partner_breeder,3,2,Adults,España,Expert,more than 10 years,more than 10 years,University,Employed,Male,No,Active member,No crío Cardenalito,Spain,Yes_network,13374124515,Adults,Spain,Expert,5,0.26145701021611406,-1.2366456327447117,0.8382779387935201,-1.0793894782929114,1,1,respondent_id
pre-piloto,13374146881,414689816,4/3/2022 11:13,4/3/2022 11:24,31.4.140.73,Acepto,Masculino,Adults,Secundaria completa,España,Malaga,Empleado (a),5 – 10 anos,Miembro activo,Hace tiempo (más de 5 años),Amateur,Si,2-5 pichones,1,0,1,0,0,1,0,0,1,0,1,1,5,5,5,5,5,1,1,5,5,5,NA,NA,NA,NA,NA,5,NA,5,"Si, tengo mis consultores",3 personas,NA,NA,NA,NA,NA,NA,Partner_breeder,NA,2,NA,España,NA,Partner_breeder,NA,2,NA,España,NA,Partner_breeder,3,2,Seniors,España,Expert,NA,more than 5 years,NA,Employed,Male,Yes,Active member,NA,Spain,Yes_network,13374146881,Adults,Spain,Amateur,5,0.26145701021611406,1.2686611383190822,0.8382779387935201,1.3308847289391934,1,0,respondent_id
pre-piloto,13374099143,414689816,4/3/2022 10:55,4/3/2022 11:05,77.241.53.81,Acepto,Masculino,Adults,Universitaria,España,sevilla,Empleado (a),5 – 10 anos,Miembro activo,Hace mucho (más de 10 años),Expert,No,No crío Cardenalito,1,0,0,0,1,1,0,0,1,0,1,1,5,5,5,1,5,1,1,5,5,5,NA,NA,NA,NA,NA,5,NA,1,"Si, tengo mis consultores",4 personas,Partner_breeder,4,2,NA,España,NA,Partner_breeder,4,2,NA,España,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,more than 10 years,University,Employed,Male,No,Active member,No crío Cardenalito,Spain,Yes_network,13374099143,Adults,Spain,Expert,5,0.26145701021611406,0.1459533160966324,0.8382779387935201,-1.0793894782929114,1,1,respondent_id
