from,to,relacion,frecuencia,intention,moral,att,norms,conform,my_country,my_age,my_expert
Seniors-Amateur,Seniors-Expert,Partner_breeder,2,1,0.10514279017686864,-1.2789236699952071,-1.2867852598290563,-0.743787178817907,Venezuela,Seniors,Amateur
Adults-Expert,Adults-Expert,Experts,4,5,0.8188236912002285,1.2686611383190822,0.8382779387935201,-0.743787178817907,Venezuela,Adults,Expert
Adults-Amateur,Adults-Expert,Experts,2,5,-0.45676978952745306,-1.1971223091935972,-1.4396135336863225,0.12574762532314096,Venezuela,Adults,Amateur
Adults-Amateur,Adults-Expert,Partner_breeder,2,1,-1.9996367079893904,-1.2270991675712468,-1.8237657166201109,-0.743787178817907,Venezuela,Adults,Amateur
Seniors-Formation,Seniors-Expert,Partner_breeder,3,5,0.5401403507081713,-2.1341028158928075,-0.3386309949813237,-1.9489242824339592,Venezuela,Seniors,Formation
Adults-Expert,Adults-Expert,Partner_breeder,2,5,0.26145701021611406,-1.2366456327447115,0.8382779387935201,-1.0793894782929114,Spain,Adults,Expert
Adults-Amateur,Seniors-Expert,Partner_breeder,2,5,0.26145701021611406,1.2686611383190822,0.8382779387935201,1.3308847289391934,Spain,Adults,Amateur
Seniors-Expert,Seniors-Expert,Partner_breeder,2,5,0.10514279017686864,-1.6853742243187595,-0.1343287110276904,0.12574762532314096,Venezuela,Seniors,Expert
Seniors-Expert,Seniors-Expert,Avicultural_directive,3,5,0.9627112601664642,-1.335197086834383,-0.5944072890313241,2.2004195330802414,Brazil,Seniors,Expert
Seniors-Expert,Seniors-Expert,Partner_breeder,2,5,0.9627112601664642,-1.335197086834383,-0.5944072890313241,2.2004195330802414,Brazil,Seniors,Expert
Adults-No_breed,Adults-Expert,Partner_breeder,2,5,0.38382613066892585,-1.0371998875065005,-0.3386309949813237,0.12574762532314096,Venezuela,Adults,No_breed
YoungAdults-No_breed,Adults-Expert,Avicultural_directive,3,5,0.2444844604228972,0.5042596679123478,0.24982347190609824,0.7283161771311671,Venezuela,YoungAdults,No_breed
Adults-No_breed,Adults-Expert,Avicultural_directive,3,5,0.8188236912002285,-0.21701666488597404,0.24982347190609824,-1.0793894782929114,Venezuela,Adults,No_breed
Seniors-Amateur,Adults-Expert,Partner_breeder,3,5,-0.45676978952745306,1.2686611383190822,0.12144758302230992,0.12574762532314096,Spain,Seniors,Amateur
Seniors-No_breed,Adults-Expert,Partner_breeder,2,5,0.38382613066892585,-0.8514725719832611,-0.7227831779151123,-0.743787178817907,Venezuela,Seniors,No_breed
Adults-No_breed,Seniors-Expert,Partner_breeder,2,4,-0.1905131001084055,-0.1520438832312504,0.24982347190609824,-0.14121862700988075,Venezuela,Adults,No_breed
Seniors-Expert,Adults-Expert,Partner_breeder,2,5,0.2444844604228972,0.5692324495670714,-0.1343287110276904,0.7283161771311671,Spain,Seniors,Expert
Seniors-Expert,Seniors-Expert,Partner_breeder,2,5,-1.4785332319090967,1.2686611383190822,0.8382779387935201,-1.0793894782929114,Spain,Seniors,Expert
Adults-No_breed,Adults-Expert,Partner_breeder,4,NA,-1.2814099082458232,-0.9164453536379848,-0.3386309949813237,-0.743787178817907,Spain,Adults,No_breed
Adults-Amateur,Adults-Expert,Partner_breeder,3,5,0.5401403507081713,1.2686611383190822,0.8382779387935201,-1.0793894782929114,Spain,Adults,Amateur
YoungAdults-Formation,Adults-Expert,Partner_breeder,3,5,0.26145701021611406,-0.8214957136056115,-0.3386309949813237,-1.9489242824339592,Spain,YoungAdults,Formation
Seniors-Amateur,Seniors-Expert,Experts,2,4,0.26145701021611406,1.2686611383190822,0.8382779387935201,-0.14121862700988075,Spain,Seniors,Amateur
YoungAdults-No_breed,Seniors-Expert,Avicultural_directive,3,4,-0.1780864490353959,-1.7503470059734834,-0.4670068838651119,0.12574762532314096,Venezuela,YoungAdults,No_breed
Adults-Expert,Adults-Expert,Partner_breeder,3,4,-1.1420682379997946,-1.5427720464039334,-0.7227831779151123,0.12574762532314096,Venezuela,Adults,Expert
Seniors-No_breed,Seniors-Expert,Partner_breeder,3,5,0.38382613066892585,-0.8433433576519225,-0.1343287110276904,-1.0793894782929114,Venezuela,Seniors,No_breed
YoungAdults-No_breed,Seniors-Expert,Partner_breeder,2,4,0.2444844604228972,-0.4976936204415864,-0.5184808939614789,-0.743787178817907,Venezuela,YoungAdults,No_breed
Adults-No_breed,Seniors-Expert,Partner_breeder,2,4,0.5401403507081713,-0.7783705759971988,-0.1343287110276904,0.12574762532314096,Venezuela,Adults,No_breed
Seniors-Expert,Adults-Expert,Avicultural_directive,2,4,0.2444844604228972,-1.7803238643511332,-0.5184808939614789,-0.743787178817907,Venezuela,Seniors,Expert
Adults-No_breed,Adults-Expert,Partner_breeder,2,4,0.5401403507081713,-1.1971223091935972,-0.7227831779151123,-0.743787178817907,Venezuela,Adults,No_breed
Adults-Expert,Seniors-Expert,Partner_breeder,2,4,0.6794820209541999,-3.1015518455950515,-1.899692111689956,-0.743787178817907,Venezuela,Adults,Expert
Adults-No_breed,Adults-Expert,Partner_breeder,3,4,-0.8917673500587558,-0.8514725719832611,-1.4396135336863225,0.12574762532314096,Venezuela,Adults,No_breed
Adults-Formation,Adults-Expert,Avicultural_directive,2,4,-0.3298547703544341,-1.1971223091935972,-0.3386309949813237,-0.743787178817907,Venezuela,Adults,Formation
Seniors-Expert,Seniors-Expert,Partner_breeder,2,5,0.10514279017686864,-1.4082990828204454,-1.899692111689956,-0.743787178817907,Brazil,Seniors,Expert
Adults-Formation,Adults-Expert,Experts,3,5,0.26145701021611406,1.2686611383190822,0.8382779387935201,-1.0793894782929114,Spain,Adults,Formation
Seniors-Formation,Seniors-Expert,Partner_breeder,2,5,-0.1735405503151886,0.7073072272078572,0.45412575585973153,0.12574762532314096,Spain,Seniors,Formation
Adults-Formation,Adults-Amateur,Partner_breeder,2,5,0.26145701021611406,0.4311576719262856,-0.3386309949813237,-1.0793894782929114,Portugal,Adults,Formation
Adults-Formation,Adults-Expert,Partner_breeder,4,5,-1.1704506905508132,0.5773616638984099,0.12144758302230992,0.12574762532314096,Spain,Adults,Formation
Adults-No_breed,Seniors-Expert,Partner_breeder,2,5,-0.3298547703544341,1.2686611383190822,0.8382779387935201,0.12574762532314096,Spain,Adults,No_breed
Adults-Formation,Adults-Amateur,Partner_breeder,3,4,0.5401403507081713,-0.12206702485360074,-1.2867852598290563,0.12574762532314096,Spain,Adults,Formation
Seniors-Expert,Seniors-Expert,Partner_breeder,2,4,0.10514279017686864,-0.1520438832312504,-0.1343287110276904,0.12574762532314096,Venezuela,Seniors,Expert
Adults-Expert,Adults-Expert,Partner_breeder,4,5,0.26145701021611406,1.2686611383190822,0.8382779387935201,-1.0793894782929114,Portugal,Adults,Expert
Seniors-Formation,Adults-Formation,Partner_breeder,3,5,0.5401403507081713,-2.104125957515158,-0.3386309949813237,0.12574762532314096,Venezuela,Seniors,Formation
Adults-Expert,Adults-Expert,Partner_breeder,2,4,-0.45676978952745306,-1.1971223091935972,-1.4396135336863225,-0.743787178817907,Venezuela,Adults,Expert
YoungAdults-Expert,Adults-Expert,Partner_breeder,3,5,0.26145701021611406,0.5773616638984099,0.06997357292594295,0.12574762532314096,Venezuela,YoungAdults,Expert
